Herb,Category,Effects,Preparation,Intensity,Onset,Legal Status,Region,Tags,Mechanism of Action,Pharmacokinetics,Therapeutic Uses,Side Effects,Contraindications,Drug Interactions,Toxicity,Toxicity / LD50
Kratom (Mitragyna speciosa),Empathogen / Euphoriant,Stimulant or sedative euphoria (dose-dependent),Oral only – not smoked,High,1-5 min,Restricted in some regions,🌎 Unknown / Global,"🌬️ Smokable, 💊 Oral, 💫 Euphoria, ⚡ Stimulant, ⚠️ Restricted","Mitragynine and 7-hydroxymitragynine act as partial agonists at μ-opioid receptors, and interact with adrenergic and serotonergic systems [0, 9].","Oral: onset 15–45 min; duration 3–6 h; hepatic metabolism via CYP enzymes; excretion renal [0, 9].","Analgesic, mood enhancer, stimulant or sedative (dose-dependent), opioid withdrawal management [0, 9].","Constipation, nausea, dependency risk, dizziness [0, 9].","Pregnancy, liver or kidney impairment, concurrent opioid or CNS depressant use [0, 9].","Additive sedation with opioids and sedatives; caution with MAOIs [0, 9].","Low-to-moderate; overdose may cause respiratory depression and death [0, 9].",
Kra Thum Na / Kok,Empathogen / Euphoriant,"Stimulation, kratom-like body feel",Capsule or tea,Moderate,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 💊 Oral, 💫 Euphoria, ✅ Safe",,,,,,,,
Sakae Naa,Empathogen / Euphoriant,"Mild stimulant, mood separation",Tea or capsule,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 💊 Oral, 💫 Euphoria, ⚡ Stimulant, ✅ Safe",Mitragynine-like alkaloids; mild adrenergic and dopaminergic stimulation.,Oral (tea/capsule); onset 20–40 min; effects last ~3–4 hrs.,"Used as stimulant, mood enhancer, and mild analgesic.","Mild stimulation, jitteriness, GI upset at high doses.",Avoid with stimulants or heart issues.,"May interact with MAOIs, stimulants, and certain SSRIs.","Low, but less studied than kratom.",Not established; no fatalities reported in isolated use.
Nelumbo nucifera,Empathogen / Euphoriant,"Mild dissociation, calm euphoria","Tea, smoke",Mild,1-5 min,"Legal, low concern",🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 💫 Euphoria, 🧘 Sedation, ✅ Safe",Contains nuciferine (dopamine receptor modulator) and aporphine alkaloids.,Smoked or tea; onset rapid (5–15 min); duration ~2–3 hrs.,"Mild euphoria, stress reduction, dream enhancement.",Mild dizziness or nausea if overused.,"Pregnancy, hypotension.",Possible additive effects with MAOIs and dopamine agents.,Low toxicity in traditional doses.,Not well-established; estimated to be >500 mg/kg (safe range).
Scullcap (Scutellaria),Dissociative / Sedative,"Relaxing, anxiety-reducing, dream support",Tea or tincture,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🌀 Dissociation, ✅ Safe",Flavonoids and baicalin modulate GABA-A receptors and inhibit inflammation.,Taken orally; onset ~30 min; effects last ~2–4 hrs.,"Calming, anticonvulsant, neuroprotective.",Rarely causes liver enzyme elevation or drowsiness.,Liver issues; consult provider before long-term use.,Additive effects with sedatives or anxiolytics.,"Generally safe, though adulterants in supplements have caused concern.",No standard LD50 data; high therapeutic margin.
California Poppy,Dissociative / Sedative,"Gentle sedative, dreamlike calm","Tea, tincture, or extract",Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🌀 Dissociation, 🧘 Sedation, ✅ Safe",Mild GABAergic activity and opioid receptor affinity (non-narcotic).,Oral (tea or tincture); onset ~30 min; lasts 2–3 hrs.,"Used for anxiety, insomnia, and pain management.","Drowsiness, vivid dreams, dizziness.",Not for use in pregnancy or with other CNS depressants.,May amplify effects of benzodiazepines and alcohol.,Low toxicity; non-habit-forming.,No known LD50 in humans; safe at standard doses.
Hop Flowers,Dissociative / Sedative,"Relaxation, dream enhancement",Tea or herbal pillow,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🌀 Dissociation, ✅ Safe","Binds to GABA-A receptors, promoting sedation and relaxation.",Oral or inhaled; onset ~20–40 min; duration ~2–4 hrs.,"Used as a mild sleep aid, anxiety reducer, and dream enhancer.","Drowsiness, mild headache, possible hormonal effects in large doses.","Pregnancy, estrogen-sensitive conditions (e.g. breast cancer).","May enhance sedatives, alcohol, and hypnotics.",Very low toxicity; generally regarded as safe.,No human LD50; high safety margin reported in herbal use.
Copal,Ritual / Visionary,"Purifying, sacred aroma, trance enhancement",Burned as incense,Mild,5-20 min,Legal / Unregulated,🌐 Global / Ritual,"🕯️ Ritual, 🔮 Ritual, ✅ Safe",,,,,,,,
Sweetgrass,Ritual / Visionary,"Positive energy, spiritual invocation",Burned or braided for ceremonies,Mild,Varies,Legal / Unregulated,🌐 Global / Ritual,"🔮 Ritual, ✅ Safe",,,,,,,,
White Sage,Ritual / Visionary,"Clarity, purification, spiritual reset",Burned as incense,Mild,5-20 min,Legal / Unregulated,🌐 Global / Ritual,"🕯️ Ritual, 🔮 Ritual, 🧠 Cognitive, ✅ Safe","1,8-Cineole and α-thujone inhibit pro-inflammatory cytokines (TNFα, IL-1β) and arachidonic acid metabolism; antimicrobial and antiviral effects via NF-κB inhibition [0, 19, 0, 4].","Inhaled or topical; rapid local absorption; systemic exposure minimal; metabolites excreted renally [0, 4].","Smudging rituals for purification, antimicrobial, respiratory support, mental clarity [0, 19].","Respiratory irritation, asthmatic exacerbation, headaches at high exposure [0, 19].","Asthma, pregnancy, respiratory disorders.",None significant documented.,"Very low; excessive inhalation may cause dizziness or nausea [0, 4].",
Frankincense (Boswellia),Other,"Trance, meditative awareness",Resin burned,Mild,Varies,Legal / Unregulated,🌐 Global / Ritual,✅ Safe,,,,,,,,
Henbane,Deliriant / Toxic,"Delirium, hallucinations, anticholinergic",Historically ritual; dangerous/toxic,High,Varies,Controlled / Toxic,🌎 Unknown / Global,"🕯️ Ritual, ☠️ Toxic",,,,,,,,
Belladonna,Deliriant / Toxic,"Hallucinations, dreamlike confusion",Highly toxic – not for casual use,High,Varies,Controlled / Toxic,🌎 Unknown / Global,☠️ Toxic,Tropane alkaloids block acetylcholine; causes anticholinergic delirium.,Oral or topical; onset ~30–90 mins; effects last 4–12 hrs.,"Historically used for pain, muscle spasms, and cosmetic dilation.","Dry mouth, hallucinations, delirium, elevated pulse.","Cardiovascular disease, glaucoma, pregnancy.","CNS depressants, anticholinergic drugs.",Highly toxic; accidental ingestion can be fatal.,"Atropine LD50 (rat, oral): ~453 mg/kg."
Mandrake Root,Deliriant / Toxic,"Narcotic, visionary trance",Traditional ceremonial use only,High,Varies,Controlled / Toxic,🌎 Unknown / Global,☠️ Toxic,"Contains tropane alkaloids (scopolamine, atropine); anticholinergic deliriant.",Oral or transdermal; slow absorption; long-lasting (6–12 hrs).,"Historically used as anesthetic, antispasmodic, and in witchcraft.","Dry mouth, confusion, hallucinations, elevated heart rate.","Pregnancy, glaucoma, heart conditions.","Potentiates other anticholinergics, CNS depressants.",Highly toxic in moderate doses.,"Scopolamine LD50 (rat, oral): ~310 mg/kg."
Anadenanthera peregrina (Yopo),Ethnobotanical / Rare,"Powerful snuff, DMT-like visuals",Prepared as snuff (contains bufotenine),High,1-3 min,Restricted in many regions,🇲🇽 Latin America,⚠️ Restricted,"Bufotenin in the seeds functions as a non-selective serotonin receptor agonist and serotonin releasing agent [1, 1].","Insufflated snuff: rapid onset; typical dose contains ~40 mg bufotenin from ~0.5 g seeds; rodent LD50 ~200–300 mg/kg [1, 1].","Used ceremonially as cohoba/yopo snuff for entheogenic experiences [1, 1].","Tachycardia, facial flushing, respiratory difficulty, leg cramps, nausea, vomiting [1, 1].","Cardiovascular disease, psychiatric disorders, pregnancy.",Serotonergic medications may potentiate effects.,High concentrations potentially embryotoxic and angiogenic; human toxicity data limited.,"Bufotenin LD50 (mice, intraperitoneal): ~200–300 mg/kg; relatively safe at ritual doses."
Anadenanthera colubrina (Cebíl),Ethnobotanical / Rare,"Entheogenic snuff, alternate reality feel",South American use,High,Varies,Restricted in many regions,🌎 Unknown / Global,⚠️ Restricted,"Bufotenin acts as a potent and non-selective serotonin receptor agonist at 5-HT₁A, 5-HT₂A, 5-HT₂C, and 5-HT₃ receptors, and serves as a specific serotonin releasing agent [1, 0].","When insufflated, bufotenin is rapidly absorbed nasally with onset in 5–15 min and duration around 1–2 h [1, 1].","Traditionally used as a snuff for visionary and divinatory rituals in South American cultures [1, 1].","Prominent cardiovascular changes, nausea, vomiting, and dizziness [1, 0, 1, 1].","Cardiovascular disorders, psychiatric conditions, and pregnancy.","Concomitant use with SSRIs or MAOIs may risk serotonin syndrome [1, 0].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0].","No documented human LD50; rodent LD50 approximately 200–300 mg/kg (intraperitoneal) [1, 0]."
Virola spp.,Ethnobotanical / Rare,DMT-containing tree resin,Used in Amazonian snuffs,High,1-3 min,Restricted / Controlled,🇲🇽 Latin America,⚠️ Restricted,"Contains DMT, 5-MeO-DMT, and beta-carbolines; classic tryptamine entheogen profile.",Insufflated or oral with MAOIs; fast onset if smoked or snuffed.,Used in Amazonian shamanic healing rituals; possible antidepressant potential.,"Nausea, intense hallucinations, elevated heart rate.","Mental health disorders, heart issues, MAOI interactions.","Dangerous with SSRIs, MAOIs, and other serotonergic substances.",Can be overwhelming; physical toxicity low but psychological risks high.,No established LD50 for DMT in humans; low systemic toxicity at typical doses.
Acorus gramineus,Ethnobotanical / Rare,"Cognitive clarity, trippy effects (debated)",Tea or chewed,Mild,15-45 min,Legal / Unregulated,🇨🇳 East Asia,"☕ Brewable, 💊 Oral, 🧠 Cognitive, ✅ Safe",Contains β-asarone; may modulate acetylcholine and GABA pathways; traditional use for cognition.,Oral tea or tincture; slow onset (~1 hr); mild duration (2–3 hrs).,"Cognitive enhancement, anxiety, neuroprotective potential.","Nausea at high doses, possible carcinogenic risk with long-term β-asarone exposure.","Pregnancy, long-term use caution due to β-asarone.",May enhance CNS depressants.,Concerns over β-asarone carcinogenicity in some studies.,"β-asarone LD50 (rat, oral): ~310 mg/kg."
Celastrus paniculatus (Intellect Tree),Other,"Lucid dreaming, cognitive enhancer",Oil or seeds consumed,Mild,Varies,Legal / Unregulated,🌎 Unknown / Global,"🧠 Cognitive, ✅ Safe",,,,,,,,
Silphium (extinct),Other,Ancient psychoactive/contraceptive herb,No longer available but worth note,Mild,Varies,Legal / Unregulated,🌎 Unknown / Global,✅ Safe,,,,,,,,
Nymphaea ampla,Empathogen / Euphoriant,"Sedative, euphoric, dreamlike states",Tea or smoke,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 💫 Euphoria, ✅ Safe",,,,,,,,
Pedicularis densiflora (Indian warrior),Dissociative / Sedative,"Muscle relaxation, mild body high",Smoked or tea,Moderate,5-15 min,Legal / Unregulated,"🌍 Africa, 🇮🇳 India","🌬️ Smokable, ☕ Brewable, 🌀 Dissociation, ✅ Safe","Muscle relaxant potential via GABAergic modulation [2, 0].","Smoked or tea; onset rapid (minutes); duration ~2–3 h [2, 0].","Muscle tension, pain relief, sleep aid applications [2, 0].","Drowsiness, dizziness [2, 0].","Pregnancy, use with other sedatives [2, 0].","Additive effects with CNS depressants [2, 0].","Low; limited data on long-term use [2, 0].",
Pedicularis groenlandica,Dissociative / Sedative,"Stronger relaxation, tension relief",Smoked or tea,Moderate,5-15 min,Legal / Unregulated,🌍 Africa,"🌬️ Smokable, ☕ Brewable, 🌀 Dissociation, ✅ Safe",,"Oral infusion onset ~30 min; duration ~4 h; metabolites excreted renally [0, 7].","Muscle relaxant, antioxidant, antimicrobial, traditional remedy for pain and inflammation [0, 7].","Rare; possible GI upset [0, 7].","Pregnancy, lactation [0, 7].","Additive with CNS depressants [0, 7].","Low; no significant toxicity reported [0, 7].",
Lactuca canadensis,Dissociative / Sedative,"Wild lettuce relative, opium-like calm",Tea or smoke,Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 🌀 Dissociation, 🧘 Sedation, ✅ Safe",Contains lactucopicrin and lactucin; thought to act as mild opioid receptor agonists.,"Oral ingestion onset 30–60 min; duration ~4 h; metabolites excreted renally [0, 6].","Sedative, analgesic, sleep aid, antitussive [0, 6].","Mydriasis, dizziness, GI upset at high doses [0, 6].","Pregnancy, concurrent opioid use [0, 6].","CNS depressants [0, 6].","Low; hospitalizations reported but recovery common [0, 6].",Not established; presumed low. No acute toxicity reported in human use.
Artemisia absinthium (Wormwood),Ritual / Visionary,"Trance states, dream-like visuals",Tea or smoke,Moderate,15-45 min,"Legal, thujone regulated",🇪🇺 Europe,"🌬️ Smokable, ☕ Brewable, 🔮 Ritual, ✅ Safe","Contains (−)-α- and (+)-β-thujone, potent GABAₐ receptor antagonists; also exhibits anti-inflammatory, antimicrobial, antioxidant, and MAO-inhibitory activities [1, 3, 0, 7].","Oral use: onset 20–60 min; peak plasma levels ~1–2 h; systemic distribution of active constituents [0, 22].","Digestive tonic, Crohn's disease aid, antiparasitic, antimicrobial, and anti-inflammatory agent [0, 7].","High-dose thujone can cause convulsions, insomnia, and hallucinations; GI upset; allergic reactions [1, 3, 0, 7].","Pregnancy, epilepsy, seizure disorders, liver disease; avoid in children [0, 7].","Increases INR with warfarin; additive CNS depression with sedatives and MAOIs [1, 3].","Rodent LD50 for thujone ~45 mg/kg; chronic overuse linked to neurotoxicity and convulsions [1, 3].","Rodent LD50 for thujone ~45 mg/kg; chronic overuse linked to neurotoxicity and convulsions [1, 3]."
Artemisia vulgaris (Mugwort),Oneirogen,"Lucid dreaming, light hallucinations","Smoke, tea, or ritual incense",Mild,5-15 min,Legal / Unregulated,🇪🇺 Europe,"🌬️ Smokable, ☕ Brewable, 🕯️ Ritual, 🧠 Dream, ✅ Safe",,,,,,,,
Justicia pectoralis,Empathogen / Euphoriant,"Aromatic, mild euphoria, anti-anxiety",Smoked or brewed,Mild,15-30 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 💫 Euphoria, ✅ Safe",Contains coumarin and umbelliferone; mild monoamine modulation; relaxant properties.,"Oral infusion onset 30–60 min; metabolites via hepatic pathways; urinary excretion [0, 10].","Gastroprotective, anti-inflammatory, antispasmodic, anxiolytic; used as snuff admixture [0, 2, 0, 10].","Rare; possible sedation, GI discomfort [0, 10].","Pregnancy; MAOI coadministration [0, 18].","MAO inhibitors, sedatives [0, 18].","Low; safe at traditional doses [0, 10].","Low; no established LD50, but considered safe in traditional use."
Viola odorata (Sweet violet),Dissociative / Sedative,"Mild sedative, calming, gentle dreaminess",Tea or syrup,Mild,15-30 min,Legal / Unregulated,🇪🇺 Europe,"☕ Brewable, 🌀 Dissociation, 🧘 Sedation, ✅ Safe",Mild central sedative via salicylates and alkaloids; may influence serotonin and prostaglandin pathways.,Taken as tea or syrup; onset ~30 min; short duration.,"Cough suppressant, mild anxiolytic, anti-inflammatory, gentle sleep aid.",Very rare; may include mild drowsiness or nausea.,None known in normal amounts; avoid if allergic.,Minimal; theoretically additive with CNS depressants.,Regarded as very safe in traditional herbalism.,No human LD50 data; extremely low toxicity reported.
Piper auritum (Root beer plant),Empathogen / Euphoriant,"Calming, warming, euphoric",Tea or culinary use,Mild,15-30 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 💫 Euphoria, 🧘 Sedation, ✅ Safe",Contains safrole and other volatile oils; possible mild dopaminergic stimulation and GI modulation.,"Oral infusion or extract onset 30–60 min; hepatic metabolism; renal excretion [0, 11].","Digestive aid, anti-inflammatory, antimutagen, diuretic, antipyretic [0, 11].","High doses may cause GI upset; safrole is a potential carcinogen [1, 11].","Pregnancy; safrole-containing extracts discouraged [1, 11].","CYP450 substrates; caution with anticoagulants [0, 19].","Safrole hepatotoxic; use sparingly [1, 11].","LD50 (rats, oral) safrole ~1,950 mg/kg; safrole is hepatotoxic at high doses."
Eschscholzia californica (California poppy),Dissociative / Sedative,"Sleep aid, mild dreamlike calm","Tea, tincture",Mild,15-45 min,Legal / Unregulated,🌎 Unknown / Global,"☕ Brewable, 🌀 Dissociation, 🧘 Sedation, ✅ Safe",,"Oral (tea, extract); onset 30–60 min; duration ~4 h; bioavailability of key alkaloids moderate [2, 3].","Anxiety reduction, insomnia aid, mild analgesic, vasomotor headache relief [2, 3, 2, 7].","High doses may cause residual sedation (""hangover""), nausea, dizziness; avoid operating machinery [2, 8, 2, 9].","Glaucoma, MAOI therapy, pregnancy, lactation [2, 9].","Additive CNS depression with sedatives, barbiturates; caution with blood thinners and antihypertensives [2, 8].","Low; no significant toxicity at therapeutic doses [2, 9].",
Rivea corymbosa,Ethnobotanical / Rare,"Dreamy visuals, nausea, traditional Mazatec use",Seeds ground and cold infused,High,30-90 min,Restricted in some countries,🌎 Unknown / Global,⚠️ Restricted,,"Insufflated or ingested; onset 20–60 min; duration 4–8 h; hepatic metabolism [0, 12].","Entheogenic snuff (ololiuqui) in Mesoamerican rituals [0, 4].","Nausea, vasoconstriction, dizziness [0, 4].","Cardiovascular disease, pregnancy [0, 4].","Serotonergic medications [0, 12].","Low; moderate overdose risk [0, 12].",
Ipomoea tricolor (Heavenly Blue),Ethnobotanical / Rare,"LSD-like visuals, spiritual confusion",Seeds ground and cold infused,High,30-90 min,Restricted in some countries,🌎 Unknown / Global,⚠️ Restricted,,"Oral ingestion onset 45–120 min; duration 4–10 h; hepatic metabolism [0, 5].","Visionary experiences, ethnobotanical use [0, 5].","Nausea, vasoconstriction, headache [0, 5].","Cardiovascular disorders, psychiatric conditions [0, 5].","SSRIs/MAOIs [0, 5].","Low; rodent LD50 ~200–300 mg/kg [0, 5].",
Argyreia nervosa (Hawaiian Baby Woodrose),Ethnobotanical / Rare,"Visionary, sedative, nausea-prone",Cold water seed infusion,High,30-90 min,Restricted in some countries,🌎 Unknown / Global,⚠️ Restricted,"Seeds contain ergolines (ergine/LSA and isoergine) acting as partial agonists at 5-HT₂A serotonin receptors and dopamine receptors, producing mild psychedelic effects [1, 2, 1, 7].","Oral ingestion: onset 20–180 min; peak ~2 h; duration 4–10 h [1, 2].","Traditional entheogen in Mesoamerican rituals and modern recreational use [1, 2].","Nausea, vomiting, vasoconstriction, dizziness, sedation [1, 2].","Cardiovascular disorders, psychiatric conditions, pregnancy.",CNS depressants and serotonergic agents may enhance effects.,No known human fatalities; rodent LD50 for ergine ~200–300 mg/kg.,
Tilia europaea (Linden flower),Dissociative / Sedative,"Calming, relaxing, mild dream aid",Tea,Mild,15-30 min,Legal / Unregulated,🇪🇺 Europe,"☕ Brewable, 🌀 Dissociation, 🧘 Sedation, ✅ Safe",,,,,,,,
Melissa officinalis (Lemon balm),Dissociative / Sedative,"Anxiolytic, cognitive calming","Tea, tincture, or smoke",Mild,15-30 min,Legal / Unregulated,🌎 Unknown / Global,"🌬️ Smokable, ☕ Brewable, 🌀 Dissociation, 🧠 Cognitive, 🧘 Sedation, ✅ Safe",,"Oral onset 30–60 min; active compounds absorbed in GI tract; hepatic metabolism; renal excretion [0, 0].","Anxiety, insomnia, nervous tension, digestive aid [0, 8].","Drowsiness; possible allergic reactions; GI upset at high doses [0, 0].","Pregnancy, known Asteraceae allergy [0, 16].","May potentiate sedatives, anticoagulants; caution with CNS depressants [0, 16].","Low; safe at therapeutic doses [0, 0].",
Ocimum sanctum (Holy Basil / Tulsi),Empathogen / Euphoriant,"Mood lift, sacred calm, spiritual focus",Tea or incense,Mild,15-30 min,Legal / Unregulated,🇮🇳 India,"☕ Brewable, 🕯️ Ritual, 💫 Euphoria, 🧘 Sedation, ✅ Safe","Modulates cortisol, inflammation, and neurotransmitters; contains eugenol, ursolic acid, and apigenin.",Rapid absorption via oral tea/tincture; hepatic metabolism.,"Adaptogen, anxiety, spiritual focus, blood sugar balance.","May lower blood sugar, mild sedation, mild nausea.","Pregnancy, diabetes medication.","May potentiate anti-diabetic, anticoagulant, or sedative drugs.",Pending,Pending
Rhodiola rosea,Empathogen / Euphoriant,"Focus, reduced fatigue, mind clarity","Capsule, tincture",Mild,30-60 min,Legal / Unregulated,🌎 Unknown / Global,"💊 Oral, 💫 Euphoria, 🧠 Cognitive, ✅ Safe","Influences serotonin, norepinephrine, dopamine; modulates HPA axis and stress adaptation via rosavins and salidroside.","Absorbed orally; peak plasma ~1-2 hours; active compounds metabolized in liver, excreted renally.","Fatigue, stress resilience, cognitive enhancement, mild depression.","Irritability, dry mouth, dizziness (rare, dose-dependent).","Bipolar disorder, stimulants, pregnancy.","May affect antidepressants, stimulants, or MAOIs.",Mild toxicity; high doses may cause irritability or insomnia.,"LD50 (rats, oral) >28,000 mg/kg; very low toxicity."
Withania somnifera (Ashwagandha),Dissociative / Sedative,"Grounded calm, dream support",Tea or capsule,Mild,30-60 min,Legal / Unregulated,🇮🇳 India,"☕ Brewable, 💊 Oral, 🌀 Dissociation, 🧘 Sedation, ✅ Safe",Modulates GABAergic and serotonergic activity; reduces cortisol; withanolides are primary active compounds.,"Oral onset 30–60 min; withanolides bioavailable; hepatic metabolism; renal excretion [0, 17].","Adaptogen, anti-stress, anxiolytic, neuroprotective, anti-inflammatory, immune support [0, 1, 0, 17].","GI upset, drowsiness, rare thyroid hormone changes [0, 9].","Pregnancy, hyperthyroidism, autoimmune diseases [0, 1].","Immunosuppressants, sedatives, thyroid medications [0, 24].","Low; well-tolerated in clinical studies [0, 1].","LD50 (rats, oral) ~4650 mg/kg; relatively low acute toxicity."
Bacopa monnieri,Empathogen / Euphoriant,"Memory enhancer, mild calming","Tea, capsule",Mild,30-60 min,Legal / Unregulated,🇮🇳 India,"☕ Brewable, 💊 Oral, 💫 Euphoria, 🧘 Sedation, ✅ Safe","Contains bacosides A and B which enhance cholinergic transmission, antioxidant defenses, and modulate neurotransmitter levels (serotonin, dopamine) [0, 0, 0, 2].","Oral preparations (extracts or powder); onset 30–60 min; requires chronic dosing for peak cognitive benefits [0, 5].","Cognitive enhancement (memory, learning), anxiety reduction, ADHD management [0, 1, 0, 6].","Gastrointestinal upset (nausea, increased motility), fatigue, dry mouth [0, 5].","Pregnancy, lactation, hypersensitivity to any component [0, 5].","No major interactions documented; caution with sedatives [0, 5].","Generally non-toxic; no serious adverse effects at recommended doses; rodent LD50 not well established [0, 6].","Generally non-toxic; no serious adverse effects at recommended doses; rodent LD50 not well established [0, 6]."
Eleutherococcus senticosus (Siberian Ginseng),Empathogen / Euphoriant,"Balanced energy, mood resilience",Tea or extract,Mild,30-60 min,Legal / Unregulated,🇨🇳 East Asia,"☕ Brewable, 💫 Euphoria, ✅ Safe",Adaptogenic modulation of HPA axis and immune response; contains eleutherosides influencing stress resilience.,Oral onset in 30–60 minutes; active glycosides metabolized hepatically.,"Fatigue, immune support, cognitive performance under stress.","Mild insomnia, irritability, nervousness in high doses.","Hypertension, pregnancy, hormone-sensitive conditions.","May interact with stimulants, immunosuppressants, and anticoagulants.",Generally considered safe when used short-term. Long-term effects less studied.,No established LD50; high doses in animals show minimal acute toxicity.
